Customer Name	Product Name	City	Manager	Row ID	Order Priority	Discount	Unit Price	Shipping Cost	Customer ID	Ship Mode	Customer Segment	Product Category	Product Sub-Category	Product Container	Product Base Margin	Region	State or Province	Postal Code	Order Date	Ship Date	Profit	Quantity ordered new	Sales	Order ID	Status
string	string	string	string	continuous	Critical High Low Medium Not\ Specified	continuous	continuous	continuous	continuous	Delivery\ Truck Express\ Air Regular\ Air	Consumer Corporate Home\ Office Small\ Business	Furniture Office\ Supplies Technology	Appliances Binders\ and\ Binder\ Accessories Bookcases Chairs\ &\ Chairmats Computer\ Peripherals Copiers\ and\ Fax Envelopes Labels Office\ Furnishings Office\ Machines Paper Pens\ &\ Art\ Supplies Rubber\ Bands Scissors,\ Rulers\ and\ Trimmers Storage\ &\ Organization Tables Telephones\ and\ Communication	Jumbo\ Box Jumbo\ Drum Large\ Box Medium\ Box Small\ Box Small\ Pack Wrap\ Bag	continuous	Central East South West	Alabama Arizona Arkansas California Colorado Connecticut Delaware District\ of\ Columbia Florida Georgia Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New\ Hampshire New\ Jersey New\ Mexico New\ York North\ Carolina North\ Dakota Ohio Oklahoma Oregon Pennsylvania Rhode\ Island South\ Carolina South\ Dakota Tennessee Texas Utah Vermont Virginia Washington West\ Virginia Wisconsin Wyoming	continuous	time	time	continuous	continuous	continuous	continuous	discrete
meta	meta	meta	meta																						
Janice Fletcher	Avery 49	Addison	Chris	18606.0	Not Specified	0.01	2.88	0.5	2.0	Regular Air	Corporate	Office Supplies	Labels	Small Box	0.36	Central	Illinois	60101.0	2012-05-28 00:00:00	2012-05-30 00:00:00	1.32	2.0	5.9	88525.0	
Bonnie Potter	SANFORD Liquid Accent™ Tank-Style Highlighters	Anacortes	William	20847.0	High	0.01	2.84	0.93	3.0	Express Air	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	0.54	West	Washington	98221.0	2010-07-07 00:00:00	2010-07-08 00:00:00	4.56	4.0	13.01	88522.0	
Bonnie Potter	Xerox 1968	Anacortes	William	23086.0	Not Specified	0.03	6.68	6.15	3.0	Express Air	Corporate	Office Supplies	Paper	Small Box	0.37	West	Washington	98221.0	2011-07-27 00:00:00	2011-07-28 00:00:00	-47.64	7.0	49.92	88523.0	
Bonnie Potter	Acme® Preferred Stainless Steel Scissors	Anacortes	William	23087.0	Not Specified	0.01	5.68	3.6	3.0	Regular Air	Corporate	Office Supplies	Scissors, Rulers and Trimmers	Small Pack	0.56	West	Washington	98221.0	2011-07-27 00:00:00	2011-07-28 00:00:00	-30.51	7.0	41.64	88523.0	
Bonnie Potter	V70	Anacortes	William	23088.0	Not Specified	0.0	205.99	2.5	3.0	Express Air	Corporate	Technology	Telephones and Communication	Small Box	0.59	West	Washington	98221.0	2011-07-27 00:00:00	2011-07-27 00:00:00	998.2022999999999	8.0	1446.67	88523.0	
Bonnie Potter	Xerox 194	Anacortes	William	23597.0	Medium	0.09	55.48	14.3	3.0	Express Air	Corporate	Office Supplies	Paper	Small Box	0.37	West	Washington	98221.0	2011-11-09 00:00:00	2011-11-11 00:00:00	1388.0522999999998	37.0	2011.67	88524.0	
Bonnie Potter	Canon S750 Color Inkjet Printer	Anacortes	William	25549.0	Low	0.08	120.97	26.3	3.0	Delivery Truck	Corporate	Technology	Office Machines	Jumbo Drum	0.38	West	Washington	98221.0	2013-07-01 00:00:00	2013-07-08 00:00:00	1001.4452999999999	12.0	1451.37	88526.0	
Ronnie Proctor	Global Troy™ Executive Leather Low-Back Tilter	San Gabriel	William	20228.0	Not Specified	0.02	500.98	26.0	5.0	Delivery Truck	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	0.6	West	California	91776.0	2010-12-13 00:00:00	2010-12-15 00:00:00	4390.3665	12.0	6362.85	90193.0	
Ronnie Proctor	Xerox 1930	San Gabriel	William	19483.0	Low	0.08	6.48	6.81	5.0	Regular Air	Home Office	Office Supplies	Paper	Small Box	0.36	West	California	91776.0	2012-05-12 00:00:00	2012-05-21 00:00:00	-141.26	18.0	113.25	90197.0	
Dwight Hwang	Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center	San Jose	William	24782.0	High	0.01	90.24	0.99	6.0	Regular Air	Home Office	Office Supplies	Appliances	Small Box	0.56	West	California	95123.0	2011-05-26 00:00:00	2011-05-26 00:00:00	1045.4673	16.0	1515.17	90194.0	
Dwight Hwang	Xerox 21	San Jose	William	24563.0	Critical	0.07	6.48	6.6	6.0	Regular Air	Home Office	Office Supplies	Paper	Small Box	0.37	West	California	95123.0	2012-12-29 00:00:00	2012-12-31 00:00:00	-13.86	4.0	28.61	90200.0	
Dwight Hwang	*Staples* Highlighting Markers	San Jose	William	24564.0	Critical	0.01	4.84	0.71	6.0	Regular Air	Home Office	Office Supplies	Pens & Art Supplies	Wrap Bag	0.52	West	California	95123.0	2012-12-29 00:00:00	2012-12-31 00:00:00	57.5805	17.0	83.45	90200.0	
Dwight Hwang	Accessory34	San Jose	William	24565.0	Critical	0.1	85.99	0.99	6.0	Regular Air	Home Office	Technology	Telephones and Communication	Wrap Bag	0.55	West	California	95123.0	2012-12-29 00:00:00	2012-12-31 00:00:00	1176.5051999999998	24.0	1705.08	90200.0	
Leon Gill	Xerox 1933	Fall River	Erin	21866.0	High	0.05	12.28	4.86	7.0	Regular Air	Home Office	Office Supplies	Paper	Small Box	0.38	East	Massachusetts	2724.0	2012-10-30 00:00:00	2012-10-31 00:00:00	72.9928	19.0	232.95	90198.0	
Melanie Garner	Sauder Forest Hills Library, Woodland Oak Finish	Bedford	Erin	20876.0	Medium	0.08	140.98	36.09	8.0	Delivery Truck	Home Office	Furniture	Bookcases	Jumbo Box	0.77	East	New Hampshire	3110.0	2012-12-25 00:00:00	2012-12-26 00:00:00	-158.74	5.0	705.47	90199.0	
Lorraine Houston	Riverside Furniture Stanwyck Manor Table Series	Camden	Erin	20877.0	Medium	0.1	286.85	61.76	9.0	Delivery Truck	Home Office	Furniture	Tables	Jumbo Box	0.78	East	New Jersey	8101.0	2012-12-25 00:00:00	2012-12-27 00:00:00	-346.6151975000001	8.0	1794.27	90199.0	
Meredith Norris Thomas	Park Ridge™ Embossed Executive Business Envelopes	Pennsauken	Erin	22241.0	Critical	0.06	15.57	1.39	10.0	Regular Air	Home Office	Office Supplies	Envelopes	Small Box	0.38	East	New Jersey	8109.0	2011-10-04 00:00:00	2011-10-05 00:00:00	142.79549999999998	14.0	206.95	90195.0	
Marcus Dunlap	DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7	Roselle	Erin	21776.0	Critical	0.06	9.48	7.29	11.0	Regular Air	Home Office	Furniture	Office Furnishings	Small Pack	0.45	East	New Jersey	7203.0	2010-08-15 00:00:00	2010-08-17 00:00:00	-53.8096	22.0	211.15	90192.0	
Kara Pace	Fiskars® Softgrip Scissors	Cranston	Erin	23328.0	High	0.04	10.98	3.37	12.0	Regular Air	Home Office	Office Supplies	Scissors, Rulers and Trimmers	Small Pack	0.57	East	Rhode Island	2907.0	2012-02-24 00:00:00	2012-02-26 00:00:00	23.12	8.0	90.39	90196.0	
Gwendolyn F Tyson	Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock	Prior Lake	Chris	24844.0	Medium	0.09	78.69	19.99	14.0	Regular Air	Small Business	Furniture	Office Furnishings	Small Box	0.43	Central	Minnesota	55372.0	2010-05-12 00:00:00	2010-05-14 00:00:00	803.4705	16.0	1164.45	86838.0	
Gwendolyn F Tyson	Newell 321	Prior Lake	Chris	24846.0	Medium	0.08	3.28	2.31	14.0	Regular Air	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	0.56	Central	Minnesota	55372.0	2010-05-12 00:00:00	2010-05-13 00:00:00	-24.03	7.0	22.23	86838.0	
Gwendolyn F Tyson	Newell 351	Prior Lake	Chris	24847.0	Medium	0.05	3.28	4.2	14.0	Regular Air	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	0.56	Central	Minnesota	55372.0	2010-05-12 00:00:00	2010-05-13 00:00:00	-37.03	4.0	13.99	86838.0	
Gwendolyn F Tyson	OIC Colored Binder Clips, Assorted Sizes	Prior Lake	Chris	24848.0	Medium	0.05	3.58	1.63	14.0	Regular Air	Small Business	Office Supplies	Rubber Bands	Wrap Bag	0.36	Central	Minnesota	55372.0	2010-05-12 00:00:00	2010-05-13 00:00:00	-0.71	4.0	14.26	86838.0	
Gwendolyn F Tyson	Xerox 213	Prior Lake	Chris	24845.0	Medium	0.01	6.48	7.86	14.0	Regular Air	Small Business	Office Supplies	Paper	Small Box	0.37	Central	Minnesota	55372.0	2013-05-12 00:00:00	2013-05-13 00:00:00	-44.54	4.0	29.55	86845.0	
Timothy Reese	Grip Seal Envelopes	Smithtown	Erin	18181.0	Critical	0.0	4.42	4.99	15.0	Regular Air	Small Business	Office Supplies	Envelopes	Small Box	0.38	East	New York	11787.0	2010-04-08 00:00:00	2010-04-09 00:00:00	-59.82	7.0	33.47	86837.0	
Timothy Reese	Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray	Smithtown	Erin	20925.0	Medium	0.01	35.94	6.66	15.0	Regular Air	Small Business	Office Supplies	Envelopes	Small Box	0.4	East	New York	11787.0	2010-05-28 00:00:00	2010-05-28 00:00:00	261.87569999999994	10.0	379.53	86839.0	
Timothy Reese	Newell 310	Smithtown	Erin	18263.0	Medium	0.03	1.76	0.7	15.0	Regular Air	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	0.56	East	New York	11787.0	2011-12-04 00:00:00	2011-12-06 00:00:00	-1.17	10.0	17.39	86840.0	
Timothy Reese	Xerox 1992	Smithtown	Erin	18554.0	Medium	0.04	5.98	5.2	15.0	Regular Air	Small Business	Office Supplies	Paper	Small Box	0.36	East	New York	11787.0	2012-04-29 00:00:00	2012-05-01 00:00:00	-24.03	3.0	19.04	86841.0	
Timothy Reese	Master Giant Foot® Doorstop, Safety Yellow	Smithtown	Erin	22781.0	Low	0.0	7.59	4.0	15.0	Regular Air	Small Business	Furniture	Office Furnishings	Wrap Bag	0.42	East	New York	11787.0	2013-01-19 00:00:00	2013-01-21 00:00:00	23.266799999999996	4.0	33.72	86842.0	
Timothy Reese	Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll	Smithtown	Erin	23287.0	Low	0.07	4.13	6.89	15.0	Regular Air	Small Business	Office Supplies	Labels	Small Box	0.39	East	New York	11787.0	2013-01-21 00:00:00	2013-01-23 00:00:00	-174.2696	9.0	38.18	86843.0	
Sarah Ramsey	Staples Gold Paper Clips	Syracuse	Erin	26267.0	High	0.04	2.98	1.58	16.0	Regular Air	Small Business	Office Supplies	Rubber Bands	Wrap Bag	0.39	East	New York	13210.0	2010-02-12 00:00:00	2010-02-15 00:00:00	2.63	6.0	18.8	86836.0	
Sarah Ramsey	StarTAC 7797	Syracuse	Erin	26268.0	High	0.05	115.99	2.5	16.0	Regular Air	Small Business	Technology	Telephones and Communication	Small Box	0.55	East	New York	13210.0	2010-02-12 00:00:00	2010-02-14 00:00:00	652.7330999999999	10.0	945.99	86836.0	
Sarah Ramsey	GBC Laser Imprintable Binding System Covers, Desert Sand	Syracuse	Erin	26266.0	High	0.08	14.27	7.27	16.0	Express Air	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	0.38	East	New York	13210.0	2013-02-12 00:00:00	2013-02-15 00:00:00	3.4595000000000002	3.0	45.6	86844.0	
Florence Hsu Schwarz	Dixon My First Ticonderoga Pencil, #2	Great Falls	William	19359.0	Low	0.05	5.85	2.27	17.0	Regular Air	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	0.56	West	Montana	59405.0	2011-04-20 00:00:00	2011-04-24 00:00:00	-6.82	2.0	12.18	90033.0	
